budget,genres,popularity,production_companies,revenue,runtime,title,vote_average,vote_count,release_year,release_month,adj_revenue,adj_budget
1350000,"['Comedy', 'Crime']",8.871,"['Summit Entertainment', 'The Steve Tisch Company', 'SKA Films', 'PolyGram Filmed Entertainment', 'HandMade Films']",28356188.0,105.0,"Lock, Stock and Two Smoking Barrels",8.2,4722.0,1998,5,46787710,2227500
16000000,"['Crime', 'Drama', 'Action']",34.591,"['Gaumont', 'Les Films du Dauphin']",45284974.0,111.0,L??on: The Professional,8.3,10702.0,1994,9,81965802,28960000
1530000,"['Action', 'Drama', 'Thriller']",10.156,"['X Filme Creative Pool', 'WDR']",7267585.0,81.0,Run Lola Run,7.3,1485.0,1998,3,11991515,2524500
10000000,"['Crime', 'Comedy']",17.128,"['Screen Gems', 'SKA Films', 'Columbia Pictures']",83557872.0,104.0,Snatch,7.8,6519.0,2000,1,130350280,15600000
14000000,"['Romance', 'Comedy']",51.14,"['Touchstone Pictures', 'Silver Screen Partners IV']",463000000.0,119.0,Pretty Woman,7.4,5615.0,1990,3,949149999,28699999
15000000,"['Comedy', 'Crime']",20.162,"['Gramercy Pictures', 'PolyGram Filmed Entertainment', 'Working Title Films', 'Universal Pictures']",46142637.0,117.0,The Big Lebowski,7.9,8201.0,1998,6,76135351,24750000
15000000,"['Drama', 'Thriller', 'Crime', 'Romance']",12.370999999999999,['DreamWorks Pictures'],85306374.0,124.0,Match Point,7.3,3032.0,2005,10,116869732,20550000
150000000,"['Adventure', 'Comedy', 'Family', 'Fantasy']",84.037,"['Village Roadshow Pictures', 'The Zanuck Company', 'Tim Burton Productions', 'Theobald Film Productions', 'Warner Bros. Pictures', 'Plan B Entertainment']",474968763.0,115.0,Charlie and the Chocolate Factory,7.0,11222.0,2005,7,650707205,205500000
93000000,"['Adventure', 'Fantasy', 'Action']",77.532,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']",871368364.0,179.0,The Lord of the Rings: The Fellowship of the Ring,8.3,18856.0,2001,12,1324479913,141360000
79000000,"['Adventure', 'Fantasy', 'Action']",65.821,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']",926287400.0,179.0,The Lord of the Rings: The Two Towers,8.3,16275.0,2002,12,1380168226,117710000
94000000,"['Adventure', 'Fantasy', 'Action']",68.771,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']",1118888979.0,201.0,The Lord of the Rings: The Return of the King,8.5,17389.0,2003,1,1633577909,137240000
26500000,"['Adventure', 'Fantasy', 'Animation']",31.096999999999998,"['Studio Ghibli', 'Nibariki', 'DENTSU Music And Entertainment', 'TNDG', 'Tokuma Shoten', 'Nippon Television Network Corporation']",159414369.0,134.0,Princess Mononoke,8.3,5497.0,1997,12,266221996,44255000
19000000,"['Animation', 'Family', 'Fantasy']",58.023,['Studio Ghibli'],274925095.0,125.0,Spirited Away,8.5,11140.0,2001,7,417886144,28880000
26000000,"['Adventure', 'Comedy', 'Crime']",13.134,"['Mike Zoss Productions', 'Universal Pictures', 'Touchstone Pictures', 'Working Title Films', 'StudioCanal']",71868327.0,107.0,"O Brother, Where Art Thou?",7.3,2872.0,2000,8,112114590,40560000
14600000,"['Romance', 'Fantasy', 'Drama', 'Comedy']",21.596999999999998,['Columbia Pictures'],70906973.0,101.0,Groundhog Day,7.6,5546.0,1993,11,131886969,27156000
5000000,"['Crime', 'Drama', 'Romance', 'Thriller', 'Mystery']",11.435,"['Canal+ Espa??a', 'El Deseo', 'TVE']",40266982.0,106.0,Bad Education,7.4,623.0,2004,3,57179114,7100000
6000000,"['Fantasy', 'Drama', 'Mystery']",25.006999999999998,"['Flower Films', 'Gaylord Films', 'Adam Fields Productions', 'Pandora Cinema']",6979093.0,114.0,Donnie Darko,7.8,9249.0,2001,10,10608221,9120000
14000000,"['Drama', 'Romance']",17.362000000000002,"['Good Machine', 'Focus Features', 'River Road Entertainment', 'Alberta Film Entertainment']",178043761.0,134.0,Brokeback Mountain,7.8,4933.0,2005,10,243919952,19180000
17000000,"['Adventure', 'Drama', 'Action', 'Romance']",16.035999999999998,"['China Film Co-Production Corporation', 'Columbia Pictures Film Production Asia', 'Good Machine', 'EDKO Film', 'Asia Union Film & Entertainment Ltd.', 'United China Vision', 'Zoom Hunt International Productions Company Ltd.']",213525736.0,120.0,"Crouching Tiger, Hidden Dragon",7.4,2190.0,2000,6,333100148,26520000
4000000,"['Drama', 'Romance', 'Comedy']",19.587,"['American Zoetrope', 'Focus Features', 'Tohokushinsha Film Corporation', 'Elemental Films']",119723856.0,102.0,Lost in Translation,7.4,5234.0,2003,9,174796829,5840000
185000000,"['Drama', 'Action', 'Crime', 'Thriller']",72.727,"['DC Comics', 'Legendary Pictures', 'Syncopy', 'Isobel Griffiths', 'DC Entertainment', 'Warner Bros. Pictures']",1004558444.0,152.0,The Dark Knight,8.5,24772.0,2008,7,1255698055,231250000
85000000,"['Thriller', 'Crime']",23.6,"['Village Roadshow Pictures', 'NPV Entertainment', 'Jerry Weintraub Productions', 'Section Eight', 'Warner Bros. Pictures']",450717150.0,116.0,Ocean's Eleven,7.4,8741.0,2001,7,685090068,129200000
20000000,"['Fantasy', 'Drama', 'Romance']",24.236,['20th Century Fox'],53000000.0,105.0,Edward Scissorhands,7.7,9820.0,1990,5,108649999,41000000
110000000,"['Thriller', 'Crime']",23.588,"['Village Roadshow Pictures', 'Jerry Weintraub Productions', 'Section Eight', 'WV Films III', 'Warner Bros. Pictures']",362744280.0,125.0,Ocean's Twelve,6.5,5399.0,2004,9,515096877,156200000
48000000,"['Science Fiction', 'Drama']",12.571,"['Intermedia Films', 'Lawrence Gordon Productions', 'Path?? Pictures International', 'IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG']",50315140.0,120.0,K-PAX,7.2,1633.0,2001,10,76479012,72960000
35000000,"['Science Fiction', 'Action', 'Thriller']",32.149,"['Davis Entertainment', 'Lawrence Gordon Productions', 'Silver Pictures', '20th Century Fox']",57120318.0,108.0,Predator 2,6.2,1981.0,1990,11,117096651,71750000
5000000,"['Horror', 'Thriller', 'Science Fiction']",33.052,['DNA Films'],85720385.0,113.0,28 Days Later,7.2,4592.0,2002,10,127723373,7450000
